Estado,Incidencia*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,"182,77",1000,36,53,37,141,137,129,92,70,118,68,60,59
BajaCalifornia,"4,3",69,2,1,1,6,2,5,12,13,17,5,1,4
BajaCaliforniaSur,"18,71",54,1,1,3,6,7,5,4,9,7,7,3,1
Campeche,"16,41",64,36,2,1,4,1,7,2,1,4,1,3,2
Coahuila,"5,92",77,0,0,4,4,8,9,14,10,10,8,5,5
Colima,"1876,95",5588,382,297,332,490,418,394,692,484,591,523,492,493
Chiapas,"7,7",169,12,15,9,16,17,17,13,11,17,11,15,16
Chihuahua,"11,06",189,3,3,10,16,11,28,28,27,24,22,8,9
DistritoFederal,"4,96",212,14,15,8,26,19,25,17,13,21,18,21,15
Durango,"397,28",3020,46,116,152,292,354,424,356,378,296,207,196,203
Guanajuato,"560,08",13411,625,718,938,2161,1994,1658,1376,899,1224,776,454,588
Guerrero,"1294,31",19643,1162,1191,1163,1812,1562,1698,1996,1456,1856,1853,1983,1911
Hidalgo,"8,9",103,4,6,3,11,8,13,17,9,9,8,11,4
Jalisco,"795,98",27280,1514,1570,1710,3226,2829,2817,2777,1980,2591,2389,1916,1961
MÃ©xico,"54,18",3955,168,157,183,364,361,381,395,284,405,469,427,361
MichoacÃ¡n,"777,04",14830,780,798,852,1518,1338,1323,1559,1172,1559,1437,1310,1184
Morelos,"1894,99",15384,750,844,1070,2104,1736,1541,1405,989,1434,1312,1116,1083
Nayarit,"1715,45",8248,392,341,346,647,583,799,1058,725,1107,940,699,611
NuevoLeÃ_n,"4,48",99,4,1,4,9,13,12,12,13,14,8,3,6
Oaxaca,"148,28",2516,135,162,173,329,252,235,249,196,198,195,177,215
Puebla,"267,98",7234,369,486,592,965,753,691,691,507,576,586,453,565
QuerÃ©taro,"224,71",1859,53,61,91,255,219,258,192,131,203,188,104,104
QuintanaRoo,"4,84",31,0,1,1,7,0,4,5,3,9,0,0,1
SanLuisPotosÃ_,"9,5",114,5,3,7,11,9,21,21,8,14,9,3,3
Sinaloa,"286,87",3825,116,107,107,210,250,352,521,415,563,512,371,301
Sonora,"131,3",1656,39,26,36,142,159,241,294,203,196,154,92,74
Tabasco,"1,99",20,1,4,3,1,0,2,2,1,2,2,2,0
Tamaulipas,"7,92",125,1,3,7,17,12,12,21,10,23,4,11,4
Tlaxcala,"3,86",21,0,0,1,1,2,1,6,5,2,1,1,1
Veracruz,"2,66",93,3,10,11,13,9,5,9,5,9,8,6,5
YucatÃ¡n,"3,07",29,0,3,2,6,1,4,2,4,4,0,3,0
Zacatecas,"293,57",1962,73,88,83,202,174,256,250,163,247,162,113,151
TOTALGLOBAL,"253,27",132880,6726,7083,7940,15012,13238,13367,14088,10194,13350,11883,10059,9940
