Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,183.39,995,48,45,79,153,150,102,79,122,77,71,44,25
BajaCalifornia,4.91,73,6,3,1,3,4,4,15,12,8,11,5,1
BajaCaliforniaSur,33.55,84,1,1,4,2,10,7,14,13,12,10,7,3
Campeche,7.2,28,0,2,2,1,1,4,3,5,4,3,2,1
Coahuila,6.58,84,1,2,4,4,9,11,14,16,13,6,2,2
Colima,1620.14,4848,420,268,358,450,513,420,356,502,499,495,356,211
Chiapas,5.16,115,13,9,12,12,6,7,7,10,10,7,12,10
Chihuahua,10.68,184,7,4,6,13,28,24,18,33,20,16,12,3
DistritoFederal,5.57,252,20,10,19,30,35,35,20,14,20,19,13,17
Durango,398.49,3128,99,115,196,361,515,414,326,343,246,256,148,109
Guanajuato,652.88,17099,1063,938,1565,2508,2696,1588,1234,1498,1209,1449,817,534
Guerrero,1265.65,20855,1421,1308,1614,1800,2290,1907,1575,1935,1693,2260,1842,1210
Hidalgo,11.11,136,7,7,10,14,12,15,16,21,12,9,6,7
Jalisco,852.03,29468,1932,1937,2527,3386,3856,2500,2102,2554,2312,2957,2131,1274
MÃ©xico,45.5,3392,172,164,234,354,448,288,211,300,300,381,328,212
MichoacÃ¡n,738.99,16018,1059,987,1379,1676,2119,1472,1044,1338,1182,1732,1216,814
Morelos,1796.04,15723,912,981,1329,1736,2185,1394,1137,1456,1326,1559,978,730
Nayarit,1391.45,6915,325,365,415,485,687,631,654,835,686,932,548,352
NuevoLeÃ_n,4.68,100,1,1,1,13,14,6,8,20,17,16,2,1
Oaxaca,148.7,2828,209,212,263,325,363,232,218,273,176,240,162,155
Puebla,321.26,9103,645,733,796,1000,1073,687,694,810,664,896,605,500
QuerÃ©taro,284.72,2336,123,141,185,246,301,223,162,200,186,272,135,162
QuintanaRoo,13,71,2,4,4,7,12,9,9,7,8,7,1,1
SanLuisPotosÃ_,19,233,9,3,13,25,43,37,18,41,22,14,4,4
Sinaloa,310.39,4281,159,150,147,211,514,399,353,554,558,672,349,215
Sonora,221.07,2748,50,77,78,184,380,422,391,445,310,254,104,53
Tabasco,1.82,19,1,0,1,2,2,2,0,3,4,2,2,0
Tamaulipas,11.5,184,6,4,8,20,15,25,22,32,21,21,7,3
Tlaxcala,4.2,23,1,2,3,4,5,1,1,3,1,1,0,1
Veracruz,4.24,157,7,5,13,19,12,5,22,27,19,16,5,7
YucatÃ¡n,3.93,36,4,2,3,1,5,7,1,9,1,1,2,0
Zacatecas,266.48,1936,99,91,144,232,296,201,175,205,152,148,101,92
TOTALGLOBAL,265.27,143452,8822,8571,11413,15277,18599,13079,10899,13636,11768,14733,9946,6709
