Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,853,33,36,57,97,116,88,80,95,85,74,62,30
BajaCalifornia,71,2,2,3,1,6,8,13,12,12,4,5,3
BajaCaliforniaSur,56,0,5,2,1,9,8,9,11,5,2,4,0
Campeche,12,0,3,3,2,1,0,0,2,0,0,1,0
Coahuila,71,2,4,3,1,10,19,11,14,3,3,1,0
Colima,5218,353,356,345,377,367,405,483,550,500,619,545,318
Chiapas,128,7,11,13,9,19,17,6,8,7,10,12,9
Chihuahua,143,6,2,7,11,19,12,6,29,24,17,7,3
DistritoFederal,170,10,5,20,12,15,12,23,21,14,17,13,8
Durango,2789,107,87,117,267,428,406,312,312,215,241,201,96
Guanajuato,12126,404,691,922,1573,1852,1317,961,1011,894,905,931,665
Guerrero,16506,853,959,1240,1314,1626,1361,1359,1638,1309,1698,2037,1112
Hidalgo,99,2,4,3,8,13,11,12,20,10,6,6,4
Jalisco,25071,1325,1368,2040,2408,3178,2321,2198,2282,2073,2288,2236,1354
Mí©xico,2830,129,127,208,294,314,312,242,240,228,245,324,167
Michoacíçn,13443,639,644,957,1143,1419,1183,1141,1251,1168,1402,1622,874
Morelos,15764,557,822,1347,1615,1942,1310,1300,1385,1236,1815,1667,768
Nayarit,7397,366,403,448,495,654,620,767,887,700,885,778,394
NuevoLeí_n,65,0,2,2,4,4,6,13,8,7,7,9,3
Oaxaca,2030,95,123,197,200,233,162,152,197,180,170,192,129
Puebla,7860,395,496,862,863,916,683,603,669,609,624,676,464
Querí©taro,1782,70,85,112,168,261,221,153,159,197,156,120,80
QuintanaRoo,68,3,5,8,3,6,7,7,8,6,8,4,3
SanLuisPotosí_,131,7,7,10,7,20,11,18,22,10,14,4,1
Sinaloa,3005,140,122,165,177,242,248,306,466,370,338,310,121
Sonora,2255,27,35,83,159,302,339,304,344,275,206,104,77
Tabasco,23,0,0,0,1,12,2,1,2,1,3,1,0
Tamaulipas,125,4,1,3,16,35,9,11,10,14,15,4,3
Tlaxcala,20,0,1,3,0,1,4,2,2,3,4,0,0
Veracruz,76,1,7,4,10,13,4,7,6,6,11,6,1
Yucatíçn,29,0,0,0,0,2,6,1,5,1,11,0,3
Zacatecas,1488,59,64,71,134,236,155,157,168,124,112,123,85
TOTALGLOBAL,121704,5596,6477,9255,11370,14271,11267,10658,11834,10286,11910,12005,6775
